cycle,outcome,model_n,beta,se,ci_lower,ci_upper,p_value,q_statistic,i_squared_percent
G,hourly_IS,1327,-0.013716564044347072,0.004974833962739427,-0.023467238611316346,-0.0039658894773777955,0.039967655887432924,NA,NA
G,minute_IS,1327,-0.005802105553886598,0.0032209643683527916,-0.01211519571585807,5.109846080848732e-4,0.13152766634432556,NA,NA
H,hourly_IS,1403,-0.008729018723861824,0.0041967837396708575,-0.016954714853616704,-5.033225941069447e-4,0.12901113024717822,NA,NA
H,minute_IS,1403,-0.0028208305224495895,0.0020777701530011574,-0.006893260022331858,0.0012515989774326787,0.26767963200105427,NA,NA
Two-cycle inverse-variance,hourly_IS,2730,-0.010802709144978167,0.0032077988238864196,-0.01708999483979555,-0.004515423450160785,7.58147357348894e-4,0.5872156146953263,0
Two-cycle inverse-variance,minute_IS,2730,-0.003696870262300839,0.0017460103060554834,-0.0071190504621695865,-2.746900624320918e-4,0.03423232357500258,0.6049658276816796,0
