outcome,beta_G,se_G,p_G,n_G,direction_G,components_G,beta_H,se_H,p_H,n_H,direction_H,components_H,beta_FE,se_FE,p_FE,beta_RE,se_RE,p_RE,ci_lo_RE,ci_hi_RE,Q,I2,tau2,p_het,g_components,h_components,same_components,is_primary,dir_concordant,formal_meta_valid,fdr_RE,fdr_FE
IS,-0.01746461039823697,0.00497097665499611,0.02,1213,negative,PFOA;PFOS;PFHxS;PFNA;PFDA,0.00659131708326208,0.0086776236485529,0.44,1262,negative,PFOA;PFOS;PFHxS;PFNA;PFDA,-0.01152094327999496,0.004313372815398487,0.007562959099004063,-0.006488165941462599,0.011981912157256608,0.5881652688151424,-0.02997271376968555,0.01699638188676035,5.786195950212623,82.71748816312981,2.3933794295235024e-4,0.016152504735540307,PFDA;PFHxS;PFNA;PFOA;PFOS,PFDA;PFHxS;PFNA;PFOA;PFOS,TRUE,FALSE,FALSE,TRUE,0.8212352606376558,0.02268887729701219
RA,-0.004065290879495236,0.005150883567860409,0.56,1213,negative,PFOA;PFOS;PFHxS;PFNA;PFDA,0.00456956631693705,0.00721462835590528,0.52,1262,negative,PFOA;PFOS;PFHxS;PFNA;PFDA,-0.0011499255524738943,0.00419211199655621,0.7838487262439013,-0.0011499255524738943,0.00419211199655621,0.7838487262439013,-0.009366465065724066,0.007066613960776277,0.9488218510338577,0,0,0.33001936638603635,PFDA;PFHxS;PFNA;PFOA;PFOS,PFDA;PFHxS;PFNA;PFOA;PFOS,TRUE,TRUE,FALSE,TRUE,0.8212352606376558,0.8258336618768667
IV,0.008963605849161591,0.011839850931282621,0.64,1213,positive,PFOA;PFOS;PFHxS;PFNA;PFDA,-0.01654113092847478,0.01366896667020456,0.24,1262,positive,PFOA;PFOS;PFHxS;PFNA;PFDA,-0.001969294468078975,0.008949380139860316,0.8258336618768667,-0.002874058338571066,0.012719521050285102,0.8212352606376558,-0.027804319597129864,0.022056202919987732,1.9891327375761028,49.726834156951746,1.6173443909518016e-4,0.15843158880538866,PFDA;PFHxS;PFNA;PFOA;PFOS,PFDA;PFHxS;PFNA;PFOA;PFOS,TRUE,TRUE,FALSE,TRUE,0.8212352606376558,0.8258336618768667
