cycle,n,bpa_cr_q25,bpa_cr_q75,bpa_iqr_doublings,is_sd,pooled_beta_per_bpa_doubling,predicted_is_difference_for_bpa_iqr,absolute_difference_percent_of_is_sd
G,1327,0.899888765294772,2.5056053811659194,1.477340629234845,0.16246672459724204,-0.01080270914497816,-0.01595928112568305,9.823107571871345
H,1403,0.7291666666666666,2.1692430097749487,1.5728711639689863,0.16437098588130558,-0.01080270914497816,-0.01699126970688021,10.33714655647915
