metric,n,mean,sd,median,q25,q75
IS,1511,0.48565588262358517,0.16304423013773078,0.4979283850415464,0.37893442582687126,0.6000454520199642
IV,1511,0.6613636474114297,0.22655816699699546,0.6386531662408335,0.506187933036476,0.7865047988992016
L5,1511,74.87833141769877,63.176711693050414,57.23462142857142,36.43673749999999,93.65171428571429
M10,1511,763.1642097650563,273.8669187928802,767.9177410714285,597.2787535714286,920.6814019642857
RA,1511,0.8193188394478563,0.13112129351227939,0.857001750217803,0.7711449033178832,0.9079223151415501
