cycle,paired_n,pearson_r,spearman_rho,mean_hourly_IS,mean_minute_IS,mean_difference_hourly_minus_minute,difference_sd,loa_lower,loa_upper
G,1511,0.9302720660930782,0.9269856853379016,0.48565588262358517,0.31330359405644137,0.17235228856714385,0.0842054109088779,0.007309683185743182,0.3373948939485445
H,1565,0.9321700849158936,0.9311202633350991,0.4836925731517261,0.31199413051786046,0.17169844263386566,0.08566802134874801,0.0037891207903195667,0.33960776447741176
Pooled descriptive,3076,0.931253337926762,0.9291117628494632,0.4846569946770769,0.3126373682964026,0.17201962638067428,0.08493952408979484,0.005538159164676398,0.33850109359667213
