system,complex,target,structure,replicate,method,window_start_ns,window_end_ns,dt_ps,component,delta_total_kcal_mol,sd_prop,sd,sem_prop,sem,analysis_layer,source_file
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,0,20,100,TOTAL,-1.67,3.4,4.71,0.24,0.33,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,20,40,100,TOTAL,-2.09,4.09,5.1,0.29,0.36,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,40,60,100,TOTAL,-2.18,45.31,4.08,3.2,0.29,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,60,80,100,TOTAL,-2.54,47.3,4.19,3.34,0.3,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep1,PB,80,100,100,TOTAL,-0.39,39.68,2.94,2.8,0.21,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep1_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,0,20,100,TOTAL,-1.1,5.79,4.69,0.41,0.33,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,20,40,100,TOTAL,0.49,5.57,4.15,0.39,0.29,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,40,60,100,TOTAL,-2.2,3.28,4.27,0.23,0.3,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,60,80,100,TOTAL,-2.85,3.43,4.34,0.24,0.31,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep2,PB,80,100,100,TOTAL,-3.26,3.93,4.07,0.28,0.29,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep2_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,0,20,100,TOTAL,1.65,6.0,6.04,0.42,0.43,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w00_20_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,20,40,100,TOTAL,0.29,27.56,5.16,1.94,0.36,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w20_40_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,40,60,100,TOTAL,-2.46,9.79,4.23,0.69,0.3,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w40_60_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,60,80,100,TOTAL,-1.73,19.54,4.25,1.38,0.3,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w60_80_dt100ps\FINAL_RESULTS_MMPBSA.dat
PFOA,PFOA_CSNK1D_5OKT,CSNK1D/P48730,5OKT,rep3,PB,80,100,100,TOTAL,-3.18,4.96,4.29,0.35,0.3,window_pb,output\md\csnk1d_p48730_5okt\mmpbsa_pb_windows\mmpbsa_PFOA_CSNK1D_5OKT_rep3_pb_w80_100_dt100ps\FINAL_RESULTS_MMPBSA.dat
